Team,Game,Total_shots,Shots_on_target,Shots_off_target,Shots_saved,Corners,Freekicks,Fouls,Offsides
Atletico Madrid,Home,11.0,5.5,5.5,0.5,5.5,23.0,16.5,3.0
Atletico Madrid,Away,9.666666666666666,6.333333333333333,3.3333333333333335,3.3333333333333335,5.333333333333333,14.0,14.666666666666666,2.6666666666666665
Juventus FC,Home,12.333333333333334,5.333333333333333,7.0,2.3333333333333335,5.666666666666667,17.333333333333332,10.333333333333334,3.0
Juventus FC,Away,10.666666666666666,6.0,4.666666666666667,2.6666666666666665,3.6666666666666665,20.666666666666668,18.333333333333332,2.3333333333333335
Real Madrid,Home,17.333333333333332,11.333333333333334,6.0,3.0,10.333333333333334,12.666666666666666,7.333333333333333,2.3333333333333335
Real Madrid,Away,11.0,6.666666666666667,4.333333333333333,3.6666666666666665,6.0,14.333333333333334,8.666666666666666,3.3333333333333335
FC Basel 1893,Home,12.333333333333334,6.0,6.333333333333333,3.6666666666666665,6.666666666666667,16.0,9.0,3.3333333333333335
FC Basel 1893,Away,9.666666666666666,4.0,5.666666666666667,6.666666666666667,3.0,15.333333333333334,14.666666666666666,2.0
AS Monaco,Home,6.666666666666667,2.0,4.666666666666667,2.3333333333333335,4.333333333333333,20.333333333333332,14.333333333333334,4.333333333333333
AS Monaco,Away,6.333333333333333,2.6666666666666665,3.6666666666666665,3.6666666666666665,4.666666666666667,16.666666666666668,16.333333333333332,2.6666666666666665
Bayer 04 Leverkusen,Home,15.333333333333334,8.333333333333334,7.0,1.3333333333333333,5.666666666666667,15.0,17.0,4.333333333333333
Bayer 04 Leverkusen,Away,9.333333333333334,3.3333333333333335,6.0,0.6666666666666666,3.3333333333333335,17.333333333333332,17.666666666666668,3.3333333333333335
Borussia Dortmund,Home,15.666666666666666,7.666666666666667,8.0,1.6666666666666667,6.666666666666667,12.666666666666666,10.0,1.6666666666666667
Borussia Dortmund,Away,13.0,8.333333333333334,4.666666666666667,1.0,4.666666666666667,10.666666666666666,8.666666666666666,1.6666666666666667
Arsenal FC,Home,10.0,5.666666666666667,4.333333333333333,4.333333333333333,6.0,12.333333333333334,12.333333333333334,1.3333333333333333
Arsenal FC,Away,8.0,3.0,5.0,4.333333333333333,2.6666666666666665,12.333333333333334,14.333333333333334,2.0
Bayern Munich,Home,17.333333333333332,9.333333333333334,8.0,2.0,7.0,12.0,7.666666666666667,3.6666666666666665
Bayern Munich,Away,9.0,4.666666666666667,4.333333333333333,3.3333333333333335,6.0,14.333333333333334,9.0,2.0
Manchester City,Home,11.666666666666666,5.0,6.666666666666667,2.0,6.333333333333333,15.0,13.333333333333334,3.3333333333333335
Manchester City,Away,7.666666666666667,4.0,3.6666666666666665,6.0,4.0,12.0,14.333333333333334,2.3333333333333335
FC Barcelona,Home,11.0,4.666666666666667,6.333333333333333,1.0,4.666666666666667,15.666666666666666,12.333333333333334,2.0
FC Barcelona,Away,14.0,7.666666666666667,6.333333333333333,1.3333333333333333,6.333333333333333,13.666666666666666,5.666666666666667,1.3333333333333333
Paris Saint-Germain,Home,10.333333333333334,4.666666666666667,5.666666666666667,0.3333333333333333,4.333333333333333,9.333333333333334,10.666666666666666,1.6666666666666667
Paris Saint-Germain,Away,9.0,4.0,5.0,1.3333333333333333,5.0,11.333333333333334,10.0,2.0
Chelsea FC,Home,11.666666666666666,7.333333333333333,4.333333333333333,4.333333333333333,5.666666666666667,12.0,12.0,3.0
Chelsea FC,Away,12.0,7.666666666666667,4.333333333333333,2.6666666666666665,8.0,12.666666666666666,9.333333333333334,5.666666666666667
FC Schalke 04,Home,9.333333333333334,4.333333333333333,5.0,2.3333333333333335,5.666666666666667,16.666666666666668,11.0,2.3333333333333335
FC Schalke 04,Away,9.666666666666666,4.333333333333333,5.333333333333333,4.0,4.0,15.333333333333334,11.333333333333334,2.0
FC Porto,Home,12.666666666666666,8.333333333333334,4.333333333333333,2.0,5.666666666666667,16.0,13.0,2.3333333333333335
FC Porto,Away,12.0,6.0,6.0,2.0,3.3333333333333335,19.666666666666668,14.333333333333334,2.0
Shakhtar Donetsk,Home,10.0,5.333333333333333,4.666666666666667,4.333333333333333,5.666666666666667,15.666666666666666,10.666666666666666,2.3333333333333335
Shakhtar Donetsk,Away,8.666666666666666,6.0,2.6666666666666665,3.6666666666666665,6.333333333333333,12.666666666666666,13.666666666666666,3.3333333333333335
