팀,득점,실점,홈득점,홈실점,어웨이득점,어웨이 실점,16득점,16실점,16홈득점,16홈실점,16어웨이득점,16어웨이실점,8득점 ,8실점,8홈득점,8홈실점,8어웨이득점,8어웨이실점,4득점,4실점,4홈득점,4홈실점,4어웨이득점,4어웨이실점,결득점,결실점
RBLeipzig,10,11,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RealMadrid,17,7,7,3,10,4,5,2,3,1,2,1,4,3,1,3,3,0,4,3,2,2,2,1,3,1
ParisSG,25,4,15,1,10,3,2,5,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ManCity,14,5,5,1,9,4,5,2,1,2,4,0,1,5,1,2,0,3,0,0,0,0,0,0,0,0
Dortmund,7,13,3,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham,15,4,9,2,6,2,3,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atalanta,5,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,16,8,10,4,6,4,1,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern,13,6,9,1,4,5,8,1,5,0,3,1,2,1,0,0,2,1,3,4,1,2,2,2,0,0
Napoli,11,11,8,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,9,1,8,1,1,0,4,1,3,0,1,1,4,4,4,1,0,3,0,0,0,0,0,0,0,0
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,7,5,4,1,3,4,4,3,2,2,2,1,3,4,0,3,3,1,0,0,0,0,0,0,0,0
Atletico,5,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,23,6,12,2,11,4,5,0,0,0,5,0,5,1,3,0,2,1,7,6,5,2,2,4,1,3
