year,Group_RealMadrid_away_Lost,Group_RealMadrid_away_Goal,Group_ParisSG_away_Lost,Group_ParisSG_away_Goal,Group_ManCity_away_Lost,Group_ManCity_away_Goal,Group_Dortmund_away_Lost,Group_Dortmund_away_Goal,Group_Tottenham_away_Lost,Group_Tottenham_away_Goal,Group_Valencia_away_Lost,Group_Valencia_away_Goal,Group_Chelsea_away_Lost,Group_Chelsea_away_Goal,Group_Bayern_away_Lost,Group_Bayern_away_Goal,Group_Napoli_away_Lost,Group_Napoli_away_Goal,Group_Barcelona_away_Lost,Group_Barcelona_away_Goal,Group_Lyon_away_Lost,Group_Lyon_away_Goal,Group_Juventus_away_Lost,Group_Juventus_away_Goal,Group_Atletico_away_Lost,Group_Atletico_away_Goal,Group_Liverpool_away_Lost,Group_Liverpool_away_Goal,GroupAtalanta_away_Goal,GroupAtalanta_away_Lost,GroupRBLeipzig_away_Goal,GroupRBLeipzig_away_Lost
1999,10,9,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,8.0,5.0,10.0,9.0,8.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2000,9,9,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,8.0,9.0,0.0,0.0,7.0,4.0,6.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0
2001,8,11,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,8.0,11.0,4.0,5.0,13.0,6.0,0.0,0.0,3.0,4.0,0,0,0,0
2002,6,9,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,3.0,8.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,10.0,4.0,4.0,9.0,7.0,0.0,0.0,6.0,6.0,0,0,0,0
2003,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
2004,5,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,3.0,3.0,0.0,0.0,4.0,3.0,4.0,6.0,1.0,3.0,0.0,0.0,2.0,1.0,0,0,0,0
2005,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,4.0,2.0,6.0,4.0,6.0,0.0,0.0,1.0,3.0,0,0,0,0
2006,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,5.0,2.0,5.0,0.0,0.0,2.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0
2007,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0,0,0,0
2008,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,0.0,0.0,3.0,12.0,5.0,8.0,2.0,4.0,1.0,4.0,3.0,6.0,0,0,0,0
2009,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,8.0,0.0,0.0,1.0,2.0,2.0,6.0,2.0,1.0,7.0,1.0,3.0,2.0,0,0,0,0
2010,2,7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,2.0,6.0,2.0,6.0,4.0,8.0,0.0,0.0,2.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011,0,6,0.0,0.0,4.0,4.0,8.0,2.0,0.0,0.0,5.0,1.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,12.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2012,4,6,1.0,4.0,7.0,3.0,4.0,7.0,0.0,0.0,2.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0
2013,3,10,3.0,10.0,3.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,7.0,6.0,3.0,3.0,3.0,0.0,0.0,4.0,2.0,2.0,6.0,0.0,0.0,0,0,0,0
2014,1,6,4.0,3.0,3.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,10.0,0.0,0.0,3.0,8.0,0.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,0,0,0,0
2015,3,6,1.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,2.0,5.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,0.0,0.0,0,0,0,0
2016,7,6,7.0,4.0,4.0,6.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,3.0,5.0,4.0,2.0,2.0,8.0,1.0,2.0,1.0,0.0,0.0,0,0,0,0
2017,10,4,10.0,3.0,9.0,4.0,4.0,7.0,6.0,2.0,0.0,0.0,6.0,4.0,4.0,5.0,3.0,6.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,11.0,4.0,1,1,5,6
2018,7,3,7.0,5.0,7.0,3.0,3.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0,4.0,8.0,2.0,3.0,7.0,4.0,6.0,5.0,4.0,2.0,2.0,5.0,1.0,3.0,0,0,0,0
