year,Group_RealMadrid_home_Goal,Group_RealMadrid_home_Lost,Group_ParisSG_home_Goal,Group_ParisSG_home_Lost,Group_ManCity_home_Goal,Group_ManCity_home_Lost,Group_Dortmund_home_Goal,Group_Dortmund_home_Lost,Group_Tottenham_home_Goal,Group_Tottenham_home_Lost,Group_Valencia_home_Goal,Group_Valencia_home_Lost,Group_Chelsea_home_Goal,Group_Chelsea_home_Lost,Group_Bayern_home_Goal,Group_Bayern_home_Lost,Group_Napoli_home_Goal,Group_Napoli_home_Lost,Group_Barcelona_home_Goal,Group_Barcelona_home_Lost,Group_Lyon_home_Goal,Group_Lyon_home_Lost,Group_Juventus_home_Goal,Group_Juventus_home_Lost,Group_Atletico_home_Goal,Group_Atletico_home_Lost,Group_Liverpool_home_Goal,Group_Liverpool_home_Lost,GroupAtalanta_home_Goal,GroupAtalanta_home_Lost,GroupRBLeipzig_home_Goal,GroupRBLeipzig_home_Lost
1999,17,9,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,9.0,1.0,8.0,3.0,12.0,5.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2000,20,8,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,9.0,2.0,11.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0
2001,16,2,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,8.0,4.0,5.0,5.0,12.0,3.0,0.0,0.0,7.0,4.0,0,0,0,0
2002,15,7,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,14.0,7.0,0.0,0.0,6.0,8.0,0.0,0.0,15.0,4.0,8.0,5.0,16.0,5.0,0.0,0.0,6.0,2.0,0,0,0,0
2003,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0
2004,6,3,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,5.0,1.0,9.0,2.0,0.0,0.0,6.0,2.0,11.0,4.0,3.0,0.0,0.0,0.0,5.0,1.0,0,0,0,0
2005,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,0.0,12.0,2.0,7.0,2.0,6.0,1.0,0.0,0.0,3.0,0.0,0,0,0,0
2006,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,5.0,1.0,0.0,0.0,9.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0,0,0,0
2007,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,12.0,2.0,0,0,0,0
2008,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,6.0,5.0,6.0,5.0,3.0,1.0,5.0,3.0,5.0,2.0,0,0,0,0
2009,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,2.0,0.0,0.0,5.0,2.0,6.0,1.0,3.0,5.0,2.0,5.0,3.0,4.0,0,0,0,0
2010,8,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,9.0,2.0,8.0,2.0,8.0,2.0,0.0,0.0,9.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011,13,2,0.0,0.0,5.0,2.0,4.0,4.0,0.0,0.0,11.0,2.0,10.0,0.0,8.0,3.0,5.0,2.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2012,9,5,10.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,7.0,3.0,11.0,5.0,12.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2013,10,2,6.0,2.0,10.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,10.0,3.0,7.0,3.0,13.0,2.0,0.0,0.0,7.0,5.0,9.0,1.0,0.0,0.0,0,0,0,0
2014,10,1,7.0,3.0,5.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,6.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,5.0,2.0,10.0,0.0,3.0,5.0,0,0,0,0
2015,13,0,4.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,1.0,14.0,1.0,0.0,0.0,11.0,2.0,1.0,5.0,3.0,0.0,7.0,2.0,0.0,0.0,0,0,0,0
2016,9,4,6.0,3.0,8.0,2.0,11.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,6.0,5.0,15.0,0.0,3.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0,0,0,0
2017,7,3,15.0,1.0,5.0,1.0,3.0,6.0,9.0,2.0,0.0,0.0,10.0,4.0,9.0,1.0,8.0,5.0,8.0,1.0,0.0,0.0,4.0,1.0,4.0,3.0,12.0,2.0,4,3,5,5
2018,5,3,10.0,4.0,9.0,3.0,7.0,0.0,5.0,5.0,5.0,4.0,0.0,0.0,8.0,2.0,5.0,2.0,7.0,1.0,6.0,6.0,5.0,2.0,7.0,1.0,8.0,2.0,0,0,0,0
