Team,home_goal_32_10,home_lost_32_10,away_goal_32_10,away_lost_32_10,home_goal_16_10,home_lost_16_10,away_goal_16_10,away_lost_16_10
AC Milan,4,4,3,3,0,1,0,0
Valencia CF,9,2,2,6,1,1,3,1
Arsenal,14,2,5,4,2,1,3,1
AS Roma,6,6,5,4,2,3,3,0
Kobenhavn,5,2,3,2,0,2,0,0
Olympique Lyon,5,2,8,6,1,1,3,0
Internazionale,9,3,8,3,0,1,2,3
Olympique Marseille,2,1,2,10,0,0,2,1
Barcelona,9,1,2,5,3,1,2,1
Shakhtar Donetsk,5,1,5,7,3,0,2,3
Tottenham Hotspur,10,2,9,8,0,0,0,1
Schalke 04,8,1,2,2,3,1,1,1
Bayern Munich,8,2,4,8,2,3,0,1
Manchester United,2,1,0,5,2,1,0,0
Chelsea,8,2,2,6,0,0,0,2
Real Madrid,8,0,2,7,3,0,1,1
