year,R16_RealMadrid_away_Lost,R16_RealMadrid_away_Goal,R16_ParisSG_away_Lost,R16_ParisSG_away_Goal,R16_ManCity_away_Lost,R16_ManCity_away_Goal,R16_Dortmund_away_Lost,R16_Dortmund_away_Goal,R16_Tottenham_away_Lost,R16_Tottenham_away_Goal,R16_Valencia_away_Lost,R16_Valencia_away_Goal,R16_Chelsea_away_Lost,R16_Chelsea_away_Goal,R16_Bayern_away_Lost,R16_Bayern_away_Goal,R16_Napoli_away_Lost,R16_Napoli_away_Goal,R16_Barcelona_away_Lost,R16_Barcelona_away_Goal,R16_Lyon_away_Lost,R16_Lyon_away_Goal,R16_Juventus_away_Lost,R16_Juventus_away_Goal,R16_Atletico_away_Lost,R16_Atletico_away_Goal,R16_Liverpool_away_Lost,R16_Liverpool_away_Goal,R16Atalanta_away_Goal,R16Atalanta_away_Lost,R16RBLeipzig_away_Goal,R16RBLeipzig_away_Lost
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0,0,0,0
2006,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0
2007,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2008,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2012,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0
2013,1.0,6.0,0.0,4.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0
2014,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0
2015,0.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
2016,7.0,6.0,7.0,4.0,4.0,6.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,3.0,5.0,4.0,2.0,2.0,8.0,1.0,2.0,1.0,0.0,0.0,0,0,0,0
2017,10.0,4.0,10.0,3.0,9.0,4.0,4.0,7.0,6.0,2.0,0.0,0.0,6.0,4.0,4.0,5.0,3.0,6.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,11.0,4.0,1,1,5,6
2018,7.0,3.0,7.0,5.0,7.0,3.0,3.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0,4.0,8.0,2.0,3.0,7.0,4.0,6.0,5.0,4.0,2.0,2.0,5.0,1.0,3.0,0,0,0,0
