year,R16_RealMadrid_home_Goal,R16_RealMadrid_home_Lost,R16_ParisSG_home_Goal,R16_ParisSG_home_Lost,R16_ManCity_home_Goal,R16_ManCity_home_Lost,R16_Dortmund_home_Goal,R16_Dortmund_home_Lost,R16_Tottenham_home_Goal,R16_Tottenham_home_Lost,R16_Valencia_home_Goal,R16_Valencia_home_Lost,R16_Chelsea_home_Goal,R16_Chelsea_home_Lost,R16_Bayern_home_Goal,R16_Bayern_home_Lost,R16_Napoli_home_Goal,R16_Napoli_home_Lost,R16_Barcelona_home_Goal,R16_Barcelona_home_Lost,R16_Lyon_home_Goal,R16_Lyon_home_Lost,R16_Juventus_home_Goal,R16_Juventus_home_Lost,R16_Atletico_home_Goal,R16_Atletico_home_Lost,R16_Liverpool_home_Goal,R16_Liverpool_home_Lost,R16Atalanta_home_Goal,R16Atalanta_home_Lost,R16RBLeipzig_home_Goal,R16RBLeipzig_home_Lost
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0,0,0,0
2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0,0,0,0
2006,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2007,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
2008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,0.0,0,0,0,0
2009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2010,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2011,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,3.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2012,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2013,3.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0,0,0,0
2014,3.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0
2015,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
2016,9.0,4.0,6.0,3.0,8.0,2.0,11.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,6.0,5.0,15.0,0.0,3.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0,0,0,0
2017,7.0,3.0,15.0,1.0,5.0,1.0,3.0,6.0,9.0,2.0,0.0,0.0,10.0,4.0,9.0,1.0,8.0,5.0,8.0,1.0,0.0,0.0,4.0,1.0,4.0,3.0,12.0,2.0,4,3,5,5
2018,5.0,3.0,10.0,4.0,9.0,3.0,7.0,0.0,5.0,5.0,5.0,4.0,0.0,0.0,8.0,2.0,5.0,2.0,7.0,1.0,6.0,6.0,5.0,2.0,7.0,1.0,8.0,2.0,0,0,0,0
